localadmin_id|localadmin_name|locality_id|locality_name|lat|lon
404474903|Falmouth|85948991|Falmouth Foreside|43.734469|-70.214952
404474903|Falmouth|85949007|Falmouth|43.7118|-70.23426
404475019|Paris|85948979|South Paris|44.219006|-70.511309
404475247|Baileyville|85948953|Woodland|45.159753|-67.412431
404475339|Lisbon|85949027|Lisbon Falls|44.008586|-70.05712
404475441|Standish|85949023|Steep Falls|43.790519|-70.627453
404475441|Standish|85949021|Standish|43.735344|-70.552499
404475443|Windham|85948999|North Windham|43.823771|-70.428779
404475443|Windham|85948997|South Windham|43.738|-70.423605
404475445|Yarmouth|85949005|Yarmouth|43.801705|-70.187455
404475445|Yarmouth|85949011|Cousins Island|43.762925|-70.140895
404475445|Yarmouth|85949025|Littlejohn Island|43.76029|-70.127112
404475459|Jay|85948919|Chisholm|44.491725|-70.191861
404475515|Brunswick|85948987|Brunswick Station|43.886437|-69.932636
404475515|Brunswick|85948985|Brunswick|43.907678|-69.945654
404475523|Cumberland|85948989|Cumberland Center|43.798215|-70.254102
404475529|Gorham|85948995|Gorham|43.682195|-70.441296
404475529|Gorham|85949015|Little Falls|43.731121|-70.430041
404475789|Kennebunk|85949063|West Kennebunk|43.414187|-70.580993
404475789|Kennebunk|85949039|Kennebunk|43.384107|-70.544165
404475793|Kittery|85949045|Kittery Point|43.088323|-70.698782
404475793|Kittery|85949043|Kittery|43.091734|-70.737443
404475815|Sanford|85949059|South Sanford|43.399184|-70.713579
404475815|Sanford|85949061|Springvale|43.466817|-70.801325
404475815|Sanford|85949053|Sanford|43.440073|-70.78015
404475819|Waterboro|85949047|Lake Arrowhead|43.6634|-70.738187
404475823|York|85949065|York Harbor|43.143472|-70.649059
404475823|York|85949035|Cape Neddick|43.170865|-70.621184
404475891|Eliot|85949057|South Eliot|43.128718|-70.795235
404475895|Bourne|85950589|Sagamore|41.784133|-70.5332
404475895|Bourne|85950565|Monument Beach|41.718717|-70.607105
404475895|Bourne|85950527|Bourne|41.731515|-70.616266
404475895|Bourne|85950579|Pocasset|41.688569|-70.638143
404475895|Bourne|85950533|Buzzards Bay|41.755023|-70.612858
404475897|Chatham|85950517|West Chatham|41.680577|-69.991753
404475897|Chatham|85950537|Chatham|41.676334|-69.963211
404475899|Dennis|85950539|Dennis|41.732944|-70.199337
404475899|Dennis|85950541|Dennis Port|41.667816|-70.135953
404475899|Dennis|85950519|West Dennis|41.665618|-70.166052
404475899|Dennis|85950509|South Dennis|41.705149|-70.153724
404475899|Dennis|85950543|East Dennis|41.739457|-70.157727
404475931|Mansfield|85950671|Mansfield Center|42.022493|-71.218056
404475937|Tisbury|85950437|Vineyard Haven|41.456989|-70.604823
404476041|Lakeville|85950469|North Lakeville|41.861981|-70.941043
404476043|Marion|85950457|Marion Center|41.704242|-70.762864
404476045|Marshfield|85950463|Marshfield Hills|42.148619|-70.731477
404476045|Marshfield|85950447|Green Harbor-Cedar Crest|42.074885|-70.658429
404476045|Marshfield|85950479|Ocean Bluff-Brant Rock|42.102354|-70.657376
404476045|Marshfield|85950461|Marshfield|42.093964|-70.704864
404476051|Rockland|85950499|Southfield|42.149674|-70.928953
404476055|Ashburnham|85950743|South Ashburnham|42.613808|-71.938386
404476071|North Brookfield|85950721|East Brookfield|42.230447|-72.047387
404476071|North Brookfield|85950737|North Brookfield|42.271169|-72.084211
404476089|Yarmouth|85950535|Yarmouth Port|41.710057|-70.225874
404476089|Yarmouth|85950523|West Yarmouth|41.647414|-70.249358
404476089|Yarmouth|85950511|South Yarmouth|41.668616|-70.200499
404476103|Great Barrington|85950601|Housatonic|42.24874|-73.362647
404476103|Great Barrington|85950599|Great Barrington|42.193581|-73.362164
404476135|Norton|85950679|Norton Center|41.972537|-71.185353
404476139|Raynham|85950683|Raynham Center|41.932711|-71.043086
404476141|Seekonk|85950673|North Seekonk|41.888127|-71.329823
404476145|Swansea|85950687|Somerset|41.740455|-71.161194
404476145|Swansea|85950681|Ocean Grove|41.728164|-71.209783
404476149|Westport|85950677|North Westport|41.653956|-71.092715
404476163|Acushnet|85950667|Acushnet Center|41.685012|-70.906481
404476169|Dartmouth|85950685|Smith Mills|41.643156|-70.99194
404476169|Dartmouth|85950669|Bliss Corner|41.605456|-70.942113
404476181|Falmouth|85950545|East Falmouth|41.570763|-70.555541
404476181|Falmouth|85950515|Teaticket|41.562393|-70.585729
404476181|Falmouth|85950521|West Falmouth|41.601369|-70.638875
404476181|Falmouth|85950553|Falmouth|41.551682|-70.60886
404476181|Falmouth|85950525|Woods Hole|41.529252|-70.666464
404476181|Falmouth|85950573|North Falmouth|41.641075|-70.633666
404476183|Harwich|85950547|East Harwich|41.708108|-70.03397
404476183|Harwich|85950559|Harwich Port|41.67025|-70.064
404476183|Harwich|85950557|Harwich Center|41.692362|-70.069392
404476183|Harwich|85950575|Northwest Harwich|41.69018|-70.102489
404476185|Mashpee|85950581|Popponesset|41.573945|-70.463373
404476185|Mashpee|85950563|Monomoscoy Island|41.571033|-70.502716
404476185|Mashpee|85950593|Seabrook|41.583128|-70.499145
404476185|Mashpee|85950595|Seconsett Island|41.566097|-70.512314
404476185|Mashpee|85950561|Mashpee Neck|41.611782|-70.466709
404476185|Mashpee|85950569|New Seabury|41.569027|-70.480785
404476185|Mashpee|85950583|Popponesset Island|41.585502|-70.458992
404476193|Sandwich|85950591|Sandwich|41.757276|-70.499643
404476193|Sandwich|85950555|Forestdale|41.684639|-70.508101
404476193|Sandwich|85950551|East Sandwich|41.736431|-70.434216
404476213|Marblehead|85950403|Salem|42.515753|-70.854443
404476221|Buckland|85950759|Shelburne Falls|42.606273|-72.743348
404476229|Deerfield|85950767|Deerfield|42.546343|-72.602402
404476229|Deerfield|85950761|South Deerfield|42.479526|-72.594737
404476243|Montague|85950763|Turners Falls|42.59751|-72.557273
404476243|Montague|85950753|Millers Falls|42.579228|-72.492544
404476361|Monson|85950773|Monson Center|42.098984|-72.304809
404476381|Amherst|85950863|South Amherst|42.338927|-72.519434
404476381|Amherst|85950861|North Amherst|42.407357|-72.522729
404476381|Amherst|85950851|Amherst Center|42.375687|-72.518846
404476395|Littleton|85950641|Littleton Common|42.535254|-71.47274
404476413|Pepperell|85950645|Pepperell|42.669489|-71.590413
404476413|Pepperell|85950625|East Pepperell|42.665325|-71.563411
404476421|Nantucket|85950505|Madaket|41.281793|-70.186394
